GeneID	GeneName	T1R1	T1R2	T1R3	T1R4	T2R1	T2R2	T2R3	T2R4	T3R1	T3R2	T3R3	T3R4	T4R1	T4R2	T4R3	T4R4	T5R1	T5R2	T5R3	T5R4	T6R1	T6R2	T6R3	T6R4	T7R1	T7R2	T7R3	T7R4	T8R1	T8R2	T8R3	T8R4	T9R1	T9R2	T9R3	T9R4	T10R1	T10R2	T10R3	T10R4	T11R1	T11R2	T11R3	T11R4	T12R1	T12R2	T12R3	T12R4	T13R1	T13R2	T13R3	T13R4	T14R1	T14R2	T14R3	T14R4	T15R1	T15R2	T15R3	T15R4	T16R1	T16R2	T16R3	T16R4	T17R1	T17R2	T17R3	T17R4	T18R1	T18R2	T18R3	T18R4
CG12763-RA	Dpt	-0.00693847867980324	-0.00693847867980324	0.00899458453343094	-0.274545493563308	0.0184533585128364	0.0184533585128364	0.106926202033385	-0.285682641515326	0.0477404976579265	-0.16120868830528	0.00197766312711067	-0.478897666225084	-0.16697936849717	-0.16697936849717	0.0565690046430722	-0.382258054229325	-0.157550587816836	-0.157550587816836	0.139558439015745	-0.209566160079966	0.0331744070686595	-0.0793484865668299	-0.127794279008891	-0.425179211073814	-0.260630392946461	-0.260630392946461	-0.00425541999031065	-0.369739737163431	0.0850530293172156	-0.2246191708892	0.0579186630979569	-0.166723703322292	-0.0136682101217396	-0.0854365567933728	-0.0136682101217396	0.044055422614468	-0.101221527140268	-0.101221527140268	0.0427243762558129	-0.11540793488965	-0.0463481673521162	-0.0463481673521162	0.303835973718149	-0.053677642797882	-0.0735799378163629	-0.0735799378163629	0.0113301717915153	-0.304792407293507	0.124085072733115	0.256520874360431	0.124085072733115	-0.065637281015956	0.177565573036895	0.123418587073219	0.0806568435725117	0.0326797672363597	0.199602814641556	0.199602814641556	0.151630607563107	0.232988462082208	0.138013311410252	0.263972433304107	0.138013311410252	0.0282326224408536	0.0179326511434068	-0.064966850964094	0.365010197070001	0.068206326062307	-0.545240881356262	-0.182648135534516	0.306996141647929	0.373234691454248
CG6571-RA	rdgC	0.111468713772354	0.147989507741163	0.164474493642862	0.147989507741163	0.129729110756758	0.129729110756758	0.21148804639128	0.15501442285892	0.0536042807033814	-0.0828734131171718	0.067734393676191	0.0123848973763794	0.0148767816243689	0.0407094187162373	0.030040781654586	0.104591648221344	0.0113385235978676	-0.10277149938072	0.0686724781116625	0.0113385235978676	-0.081686273550864	-0.0235930023591315	0.126612973975655	-0.0235930023591315	0.00166980187613675	0.0991494981830447	0.0328820345725997	0.0846820971274767	-0.0356221039998772	-0.0356221039998772	-0.105429212940446	0.0662197899007904	-0.0297009118348112	-0.0297009118348112	0.0603176366605362	-0.166817805754344	-0.00561832913736637	-0.332370333123595	-0.0237797196697453	-0.0237797196697453	-0.0187260761328139	-0.00705731619295591	-0.221895995028631	-0.0268207975389885	-0.075704579498979	-0.075704579498979	-0.0670672996344486	-0.33376093702766	0.0473532191272001	-0.196690841783862	-0.267962952808475	-0.0843418593635095	0.0709792267882667	-0.110904551131407	-0.110904551131407	-0.120620769090816	-0.110904551131407	-0.110904551131407	-0.235460255437862	-0.365196323468017	-0.0196521245974992	-0.131079203874076	-0.058141347331591	-0.068940890865897	0.0465127712336892	-0.00500618904704719	-0.00500618904704719	-0.199951091772498	0.272810353120241	-0.0936661327681936	0.0586962762245715	-0.22379990338208
CG11312-RA	insc	0.139421333257316	-0.0502056937296071	0.480546547526468	-0.0593872122247259	0.261164515944487	0.0865256338568328	0.15714063770467	0.0289834411455336	0.117938687679974	0.082487289061576	0.0472316499292456	-0.201602468601656	0.0598444743417703	-0.0677802240738021	-0.0235677557182266	-0.0517390312173456	-0.0224850633200071	-0.0406534066260109	-0.0224850633200071	-0.0214023709217877	-0.0170067081215963	-0.0375395388705853	0.157719705357131	0.0227485153409068	0.0493577393753739	-0.093953005993435	0.0451042706471609	0.0181141012703359	0.0387316987022839	-0.230125867452313	0.101559451503999	-0.118546994571981	-0.119101641178213	-0.12283750319317	-0.0204040714009635	-0.119101641178213	-0.1091420920823	-0.376364071222125	-0.1091420920823	-0.116977881711737	-0.101306302452864	-0.0512521084294217	-0.0512521084294217	-0.0376175991373264	-0.044434853783374	-0.044434853783374	0.0129718761733333	-0.071448541863675	-0.0331136141532076	-0.0331136141532076	-0.0230464070303302	-0.0595713658545165	-0.00825164570636705	-0.0627634260494485	-0.0541790055498694	-0.0693385469933343	0.0573030510379473	0.0123957730339361	0.0573030510379473	0.0599977056953307	-0.0117134360642828	0.0219008236449181	0.1452549970964	-0.0874221305203449	0.144981645441179	-0.05099274562484	0.0669251983582804	-0.089680193329655	0.127613035424232	-0.0696909012297207	0.0719991573509615	-0.087429705910549
CG10580-RA	fng	0.0416923733080621	0.0151014141023911	-0.0754456485219661	0.155035143668864	0.0680066197521683	0.18488449323143	0.0308639747277928	0.0574789360162615	0.176352165600611	0.00272364700955041	0.0142997279386341	0.151548763338436	0.13506298394395	-0.0194979207606032	-0.0443303025304802	0.0406571074284718	0.0176496471513348	-0.0811188241907805	0.0102181261074366	0.121812463430084	0.0563389316091421	0.0418229179452707	0.0430144098922094	0.0489433824470824	0.0401208556996311	0.0163895867014876	0.0374391578296418	0.182575761453331	0.0230848487266622	-0.192756471776398	0.0611533663946604	0.235650249087977	-0.0403126903262851	-0.0403126903262851	0.0429762572858099	-0.182456232510321	0.0199966799395614	-0.281868842743513	-0.121374188772021	0.00087222758909622	-0.0894326005124562	-0.0504399113062011	-0.235063792639341	0.0550995454650653	-0.00312916678903807	-0.0111487931536995	-0.0548539432513504	0.0288697313297277	-0.00556089432514373	-0.00258568092309197	-0.12926462628826	0.0151355352793114	-0.0206837859488891	-0.0232433495096194	-0.107099486667528	-0.0751181993426906	0.0384397271290338	-0.0621290352405701	-0.166808813414914	-0.0921396109650354	-0.0271744746168672	-0.019440134760214	-0.0699560844229188	0.0436590182122973	0.0508458573314323	-0.0143239713728125	-0.124914912356531	-0.0505786634658127	0.136563422662206	-0.030710666209159	0.147900104482115	0.00757311177965558
CG1373-RA	CecC	-0.198798296599849	-0.198798296599849	-0.198798296599849	-0.599099390802608	0.118039231445395	-0.0805900051037671	-0.252729673266456	-0.981105989040674	-0.0327756125418768	-0.523017756555925	-0.0996626118370108	-0.77370761498218	0.0102511461160475	-0.372015172556973	-0.0338253532959403	-0.529015143412416	-0.086773087200129	-0.370878147093671	-0.0974875514109428	-0.29810243962247	-0.0437269846379102	-0.284610655165102	-0.315027304629363	-0.682773403912615	-0.0737139605851294	-0.422670695858653	-0.0557853847665868	-0.554885909961531	-0.0163687415964837	-0.591183580112336	0.0321484625820414	-0.441840741676585	0.102005543443648	0.102005543443648	-0.131399731502699	0.116891384140569	-0.0521475330761518	0.808650564915759	-0.0521475330761518	-0.151843556639302	0.0516052519192165	0.356254073099935	0.0489656398165108	-0.248479248636825	0.0491106326903203	0.0491106326903203	0.137692323341085	-0.103436810413283	0.0286483520443035	0.880815572839218	0.332581406396763	0.0433870506457259	0.166222459961375	1.22449986343237	0.301446454631268	0.275120005814188	0.77766661075807	1.52215087715761	0.41926696134721	0.77766661075807	0.0520808332727629	1.17399387926949	0.352335604448449	0.433224390673443	-0.053638763577232	-0.328785876891327	0.546054095578077	0.748744943957324	-1.61221972535284	-0.510642273508783	0.782309669432028	0.878153052264263
CG3902-RA	CG3902	-0.00316593154287226	-0.05118127563816	0.119652556231381	-0.0542589595597729	-0.485360187229388	0.146737476631896	0.137784649780427	-0.0285309510756973	-0.246627922536558	-0.0312067037575359	0.0611742016337056	-0.0916922291469584	-0.232551034398036	-0.172514747929084	-0.108345894967711	-0.00142317357769262	-0.265344047691264	-0.307440054890731	-0.106389611701744	-0.158069090375367	-0.298708237378817	-0.108792771628551	-0.0354453863971571	-0.092968539240788	-0.278099328573874	0.0419326754976357	-0.198407219732869	-0.0852526311266706	-0.120491495502897	-0.171263241639127	0.153507534480067	0.0728145190720548	0.173988615869431	0.380436680641949	0.173988615869431	0.109960702566044	0.113963368760975	0.402924515896095	-0.0580532368269644	0.103656326179016	-0.186455181755323	0.353798213447853	0.197483723485239	0.00591291590990028	0.0488157088333567	0.10179671408082	0.1879746615043	0.0382956953769611	0.0145828556590413	0.279540972520098	0.085657501930572	-0.0646501879206962	0.141599122223439	0.418609899176402	0.100326995726311	0.0849580985849334	0.0858808683151082	0.407035112838812	0.051238760163022	0.355437646455497	-0.202308633110639	0.251595187350824	-0.249783064828861	0.314207209294141	-0.203608246350909	-0.264156092343092	0.118125974038477	0.320190581471953	-0.0459362622521899	-0.173526976969969	0.39140880441682	0.144434404863474
CG5557-RA	sqz	-0.0347295250842494	0.00534528448984428	-0.00123504112870432	-0.0739500534050661	-0.231006058991006	0.023066534343795	0.0224990583646649	-0.0733795826023123	-0.065932032768405	0.122282686843549	0.0176847159764284	-0.0759910172360732	-0.079962894758018	-0.0258157957009448	-0.0544356696265833	-0.0152514705856284	-0.0884218519375004	0.0145504014678268	-0.0241140235937554	0.0410680942340296	0.0172839059681369	0.025730615070084	-0.000227536205371415	0.0641108892563516	-0.00594285595635835	0.0288345653842725	0.0622969909956153	0.0698415814843178	0.0120539445943049	-0.143452167466971	0.149679560055994	0.0663253526518908	0.0773835244240848	0.105694802475709	0.0773835244240848	-0.0603971818854792	0.0111232572516586	0.210457299909783	0.0472274212793318	0.204443186485967	-0.0188184174499959	0.0883545628592728	0.19712087122785	0.285820423622804	-0.0284258846724317	0.142027089235244	0.170987544485214	0.206707143580107	-0.0255995807296809	0.111639062779418	-0.117713999574769	0.185958927796189	0.0221697146557158	-0.0699729274235841	0.120455595262451	0.256697435002094	-0.0232039784232088	0.12990476257158	0.12990476257158	0.189845064743833	-0.0589077653920977	-0.0242024535552572	0.0174138911287613	0.115704207352185	-0.0571706327083978	0.0499593714429025	0.0576419536438486	0.00683016830969674	0.0232650433328052	-0.0566599289752263	0.22061175729457	0.0141209275596408
CG10962-RB	CG10962	-0.073497544991346	-0.0313751330566738	0.524694977428732	-0.229294287488987	0.478901197874171	0.109444226405717	0.392547680516618	-0.246306041989017	0.0870465427601808	0.119991229945743	0.0855833848551395	-0.260179201971688	0.0207850183443536	0.237501310225962	0.512066918319228	-0.280077306294016	0.376738199531289	0.216726777219357	0.222529865022308	-0.269480902582849	0.250062622880954	0.192396923701947	0.412665983870715	-0.178295426431257	0.184420093865732	0.240386958192406	0.592545166963591	0.100838588176721	-0.0502156882088975	0.295604764234634	0.467709840919831	-0.00331502916569981	0.295341613457197	0.421390576054174	0.295341613457197	0.160452818249313	0.153004666037161	-0.0115727404199859	0.45644491702574	-0.0935708045792865	0.253661075789795	0.315089649369485	0.563702741187388	-0.110591843293905	-0.249457835153297	-0.203467908599373	0.0653135776133666	0.0331384024676566	-0.290061699746321	-0.0230732368898252	0.0701897148686541	-0.24515996395893	-0.479299736115806	-0.110152249871783	0.109792304873706	-0.475276066393784	-0.446515931536608	0.0145028865117656	0.110438841102997	-0.316684849364538	-0.242054511640518	-0.455805130421378	-0.0480449567562786	-0.4728698794487	0.125914790971812	0.426144821815031	0.0584980710658183	-0.574690472441329	0.226892402701591	0.0180753364913055	-0.333899218487892	-0.561239092418617
CG31961-RB	CG31961	0.170252479574577	0.119587937913761	0.119587937913761	0.0009643027272066	0.110229016219181	0.110229016219181	0.107815391737084	0.0435931246582077	0.183542413456117	-0.0414575983852492	0.0528477366596114	0.112642640701279	0.096687652015401	-0.132121737049154	0.0136665520008927	-0.123954244623651	-0.0702193400398103	-0.167805343285747	0.352179136441836	-0.0702193400398103	0.176566709945817	-0.0337799015679403	0.0319065332056923	0.0247733531788779	0.0316275046879655	-0.142913283250687	-0.0352870963752165	0.0181141012703359	-0.0763454164831777	-0.0763454164831777	0.0210475006541087	-0.234814530424033	-0.0763454164831777	-0.0763454164831777	-0.117403736591139	-0.274229559850154	-0.0296788756870061	-0.274307471901762	-0.0296788756870061	-0.00369016933399902	-0.0130751454031124	-0.0130751454031124	-0.162000579016841	-0.00925825036289041	-0.0295653531879836	-0.0295653531879836	0.0330142008023495	-0.0870489854551337	-0.0460555609728548	-0.111190859713045	-0.0057255147799804	-0.0460555609728548	0.125203457494154	-0.0265569017077807	-0.0265569017077807	-0.123384813040172	0.110494495904733	-0.0470650452452945	-0.0470650452452945	-0.0923047863768218	0.0652654826603882	-0.0707687320236143	-0.110789382505033	-0.0117212540593572	0.043056029066677	-0.081561841768714	-0.104619966965459	-0.081561841768714	-0.0770064957318883	-0.11371461781746	0.057943737120314	-0.0770064957318883
CG31710-RA	CG31710	0.050056303169125	-0.0493315500493532	-0.201900964919179	-0.0493315500493532	-0.064909592252846	-0.0510414760601314	-0.0510414760601314	0.0146299169074613	-0.0160099334738639	-0.121733067479725	-0.0324936942842307	-0.0680383280153096	-0.108108926311048	-0.075997603154705	0.0692308384770985	0.0576455361475787	-0.0099895622449111	-0.0255626022529647	-0.0079903671037993	-0.0664922014589306	-0.0174868854837946	0.0105840060532323	-0.115264341713331	-0.0565955800579818	-0.057660766093595	-0.107493474742049	-0.0614631976570346	-0.0362475925937602	-0.152023629012436	-0.225477863381994	-0.152023629012436	-0.0461423753194401	-0.0358696524327913	-0.00837299302074257	-0.0358696524327913	-0.0553850806607725	0.154055822477348	0.027038216003457	0.0813577568777202	0.116463672949231	-0.0182219739816052	0.0548291556565932	0.181102224078343	0.0548291556565932	0.0606834029327077	0.0405383359573577	-0.0343105707897937	-0.0401770265341366	0.128579884822911	0.128579884822911	0.232399612539314	0.0333840765276454	0.177000715449385	-0.0850769963959923	0.0810440154210434	0.13962155481448	0.0661569052285902	0.054086552706635	0.0391912118206541	0.060259981067686	-0.0333704475627599	0.0219008236449181	-0.106912577160402	0.0379714136884841	-0.00854168210901385	-0.0657371251118706	-0.0375853870544471	0.138588316635795	-0.02033274372336	-0.139851325634996	0.145727714569428	-0.0107748873206113
